Enter value for shuffling:Iterator=1, queue=1, depth=0
Iterator=188, queue=148, depth=184
Iterator=189, queue=148, depth=185
Iterator=190, queue=149, depth=186
Iterator=191, queue=151, depth=187
Iterator=192, queue=152, depth=188
Iterator=193, queue=152, depth=189
Iterator=194, queue=153, depth=190
Iterator=195, queue=153, depth=191
Iterator=196, queue=154, depth=192
Iterator=197, queue=156, depth=193
Iterator=198, queue=157, depth=194
Iterator=199, queue=157, depth=195
Iterator=200, queue=158, depth=196
Iterator=201, queue=158, depth=197
Iterator=202, queue=159, depth=198
Iterator=203, queue=161, depth=199
Iterator=204, queue=162, depth=200
Iterator=205, queue=162, depth=201
Iterator=206, queue=163, depth=202
Iterator=207, queue=163, depth=203
Iterator=208, queue=164, depth=204
Iterator=209, queue=166, depth=205
Iterator=210, queue=167, depth=206
Iterator=211, queue=167, depth=207
Iterator=212, queue=168, depth=208
Iterator=213, queue=168, depth=209
Iterator=214, queue=169, depth=210
Iterator=215, queue=171, depth=211
Iterator=216, queue=172, depth=212
Iterator=217, queue=172, depth=213
Iterator=218, queue=172, depth=214
Iterator=219, queue=174, depth=215
Iterator=220, queue=175, depth=216
Iterator=221, queue=175, depth=217
Iterator=222, queue=176, depth=218
Iterator=223, queue=176, depth=219
Iterator=224, queue=177, depth=220
Iterator=225, queue=179, depth=221
Iterator=226, queue=180, depth=222
Iterator=227, queue=180, depth=223
Iterator=228, queue=181, depth=224
Iterator=229, queue=181, depth=225
Iterator=230, queue=182, depth=226
Iterator=231, queue=184, depth=227
Iterator=232, queue=185, depth=228
Iterator=233, queue=184, depth=228
Iterator=234, queue=184, depth=229
Iterator=235, queue=185, depth=230
Iterator=236, queue=185, depth=231
Iterator=237, queue=186, depth=232
Iterator=238, queue=188, depth=233
Iterator=239, queue=189, depth=234
Iterator=240, queue=189, depth=235
Iterator=241, queue=190, depth=236
Iterator=242, queue=190, depth=237
Iterator=243, queue=191, depth=238
Iterator=244, queue=193, depth=239
Iterator=245, queue=194, depth=240
Iterator=246, queue=194, depth=241
Iterator=247, queue=195, depth=242
Iterator=248, queue=195, depth=243
Iterator=249, queue=196, depth=244
Iterator=250, queue=198, depth=245
Iterator=251, queue=199, depth=246
Iterator=252, queue=199, depth=247
Iterator=253, queue=200, depth=248
Iterator=254, queue=200, depth=249
Iterator=255, queue=201, depth=250
Iterator=256, queue=203, depth=251
Iterator=257, queue=204, depth=252
Iterator=258, queue=204, depth=253
Iterator=259, queue=205, depth=254
Iterator=260, queue=205, depth=255
Iterator=261, queue=206, depth=256
Iterator=262, queue=208, depth=257
Iterator=263, queue=209, depth=258
Iterator=264, queue=209, depth=259
Iterator=265, queue=209, depth=260
Iterator=266, queue=211, depth=261
Iterator=267, queue=212, depth=262
Iterator=268, queue=212, depth=263
Iterator=269, queue=213, depth=264
Iterator=270, queue=213, depth=265
Iterator=271, queue=214, depth=266
Iterator=272, queue=216, depth=267
Iterator=273, queue=217, depth=268
Iterator=274, queue=217, depth=269
Iterator=275, queue=218, depth=270
Iterator=276, queue=218, depth=271
Iterator=277, queue=219, depth=272
Iterator=278, queue=221, depth=273
Iterator=279, queue=222, depth=274
Iterator=280, queue=221, depth=274
Iterator=281, queue=221, depth=275
Iterator=282, queue=222, depth=276
Iterator=283, queue=222, depth=277
Iterator=284, queue=223, depth=278
Iterator=285, queue=225, depth=279
Iterator=286, queue=226, depth=280
Iterator=287, queue=226, depth=281
Iterator=288, queue=227, depth=282
Iterator=289, queue=227, depth=283
Iterator=290, queue=228, depth=284
Iterator=291, queue=230, depth=285
Iterator=292, queue=231, depth=286
Iterator=293, queue=231, depth=287
Iterator=294, queue=232, depth=288
Iterator=295, queue=232, depth=289
Iterator=296, queue=233, depth=290
Iterator=297, queue=235, depth=291
Iterator=298, queue=236, depth=292
Iterator=299, queue=236, depth=293
Iterator=300, queue=237, depth=294
Iterator=301, queue=237, depth=295
Iterator=302, queue=238, depth=296
Iterator=303, queue=240, depth=297
Iterator=304, queue=241, depth=298
Iterator=305, queue=241, depth=299
Iterator=306, queue=242, depth=300
Iterator=307, queue=242, depth=301
Iterator=308, queue=243, depth=302
Iterator=309, queue=245, depth=303
Iterator=310, queue=246, depth=304
Iterator=311, queue=246, depth=305
Iterator=312, queue=246, depth=306
Iterator=313, queue=248, depth=307
Iterator=314, queue=249, depth=308
Iterator=315, queue=249, depth=309
Iterator=316, queue=250, depth=310
Iterator=317, queue=250, depth=311
Iterator=318, queue=251, depth=312
Iterator=319, queue=253, depth=313
Iterator=320, queue=254, depth=314
Iterator=321, queue=254, depth=315
Iterator=322, queue=255, depth=316
Iterator=323, queue=255, depth=317
Iterator=324, queue=256, depth=318
Iterator=325, queue=258, depth=319
Iterator=326, queue=259, depth=320
Iterator=327, queue=258, depth=320
Iterator=328, queue=258, depth=321
Iterator=329, queue=259, depth=322
Iterator=330, queue=259, depth=323
Iterator=331, queue=259, depth=324
Iterator=332, queue=259, depth=325
Iterator=333, queue=260, depth=326
Iterator=334, queue=260, depth=327
Iterator=335, queue=261, depth=328
Iterator=336, queue=263, depth=329
Iterator=337, queue=264, depth=330
Iterator=338, queue=264, depth=331
Iterator=339, queue=265, depth=332
Iterator=340, queue=265, depth=333
Iterator=341, queue=266, depth=334
Iterator=342, queue=268, depth=335
Iterator=343, queue=269, depth=336
Iterator=344, queue=268, depth=336
Iterator=345, queue=268, depth=337
Iterator=346, queue=269, depth=338
Iterator=347, queue=269, depth=339
Iterator=348, queue=270, depth=340
Iterator=349, queue=272, depth=341
Iterator=350, queue=273, depth=342
Iterator=351, queue=273, depth=343
Iterator=352, queue=274, depth=344
Iterator=353, queue=274, depth=345
Iterator=354, queue=275, depth=346
Iterator=355, queue=277, depth=347
Iterator=356, queue=278, depth=348
Iterator=357, queue=278, depth=349
Iterator=358, queue=279, depth=350
Iterator=359, queue=279, depth=351
Iterator=360, queue=280, depth=352
Iterator=361, queue=282, depth=353
Iterator=362, queue=283, depth=354
Iterator=363, queue=283, depth=355
Iterator=364, queue=284, depth=356
Iterator=365, queue=284, depth=357
Iterator=366, queue=285, depth=358
Iterator=367, queue=287, depth=359
Iterator=368, queue=288, depth=360
Iterator=369, queue=288, depth=361
Iterator=370, queue=289, depth=362
Iterator=371, queue=289, depth=363
Iterator=372, queue=290, depth=364
Iterator=373, queue=292, depth=365
Iterator=374, queue=293, depth=366
Iterator=375, queue=293, depth=367
Iterator=376, queue=293, depth=368
Iterator=377, queue=295, depth=369
Iterator=378, queue=296, depth=370
Iterator=379, queue=296, depth=371
Iterator=380, queue=297, depth=372
Iterator=381, queue=297, depth=373
Iterator=382, queue=298, depth=374
Iterator=383, queue=300, depth=375
Iterator=384, queue=301, depth=376
Iterator=385, queue=301, depth=377
Iterator=386, queue=302, depth=378
Iterator=387, queue=302, depth=379
Iterator=388, queue=303, depth=380
Iterator=389, queue=305, depth=381
Iterator=390, queue=306, depth=382
Iterator=391, queue=305, depth=382
Iterator=392, queue=305, depth=383
Iterator=393, queue=306, depth=384
Iterator=394, queue=306, depth=385
Iterator=395, queue=307, depth=386
Iterator=396, queue=309, depth=387
Iterator=397, queue=310, depth=388
Iterator=398, queue=310, depth=389
Iterator=399, queue=311, depth=390
Iterator=400, queue=311, depth=391
Iterator=401, queue=312, depth=392
Iterator=402, queue=314, depth=393
Iterator=403, queue=315, depth=394
Iterator=404, queue=315, depth=395
Iterator=405, queue=316, depth=396
Iterator=406, queue=316, depth=397
Iterator=407, queue=317, depth=398
Iterator=408, queue=319, depth=399
Iterator=409, queue=320, depth=400
Iterator=410, queue=320, depth=401
Iterator=411, queue=321, depth=402
Iterator=412, queue=321, depth=403
Iterator=413, queue=322, depth=404
Iterator=414, queue=324, depth=405
Iterator=415, queue=325, depth=406
Iterator=416, queue=325, depth=407
Iterator=417, queue=326, depth=408
Iterator=418, queue=326, depth=409
Iterator=419, queue=327, depth=410
Iterator=420, queue=329, depth=411
Iterator=421, queue=330, depth=412
Iterator=422, queue=330, depth=413
Iterator=423, queue=330, depth=414
Iterator=424, queue=332, depth=415
Iterator=425, queue=333, depth=416
Iterator=426, queue=333, depth=417
Iterator=427, queue=334, depth=418
Iterator=428, queue=334, depth=419
Iterator=429, queue=335, depth=420
Iterator=430, queue=337, depth=421
Iterator=431, queue=338, depth=422
Iterator=432, queue=338, depth=423
Iterator=433, queue=339, depth=424
Iterator=434, queue=339, depth=425
Iterator=435, queue=340, depth=426
Iterator=436, queue=342, depth=427
Iterator=437, queue=343, depth=428
Iterator=438, queue=342, depth=428
Iterator=439, queue=342, depth=429
Iterator=440, queue=343, depth=430
Iterator=441, queue=343, depth=431
Iterator=442, queue=344, depth=432
Iterator=443, queue=346, depth=433
Iterator=444, queue=347, depth=434
Iterator=445, queue=347, depth=435
Iterator=446, queue=348, depth=436
Iterator=447, queue=348, depth=437
Iterator=448, queue=349, depth=438
Iterator=449, queue=351, depth=439
Iterator=450, queue=352, depth=440
Iterator=451, queue=352, depth=441
Iterator=452, queue=353, depth=442
Iterator=453, queue=353, depth=443
Iterator=454, queue=354, depth=444
Iterator=455, queue=356, depth=445
Iterator=456, queue=357, depth=446
Iterator=457, queue=357, depth=447
Iterator=458, queue=358, depth=448
Iterator=459, queue=358, depth=449
Iterator=460, queue=359, depth=450
Iterator=461, queue=361, depth=451
Iterator=462, queue=362, depth=452
Iterator=463, queue=362, depth=453
Iterator=464, queue=363, depth=454
Iterator=465, queue=363, depth=455
Iterator=466, queue=364, depth=456
Iterator=467, queue=366, depth=457
Iterator=468, queue=367, depth=458
Iterator=469, queue=367, depth=459
Iterator=470, queue=367, depth=460
Iterator=471, queue=369, depth=461
Iterator=472, queue=370, depth=462
Iterator=473, queue=370, depth=463
Iterator=474, queue=371, depth=464
Iterator=475, queue=371, depth=465
Iterator=476, queue=372, depth=466
Iterator=477, queue=374, depth=467
Iterator=478, queue=375, depth=468
Iterator=479, queue=375, depth=469
Iterator=480, queue=376, depth=470
Iterator=481, queue=376, depth=471
Iterator=482, queue=377, depth=472
Iterator=483, queue=379, depth=473
Iterator=484, queue=380, depth=474
Iterator=485, queue=379, depth=474
Iterator=486, queue=379, depth=475
Iterator=487, queue=380, depth=476
Iterator=488, queue=380, depth=477
Iterator=489, queue=381, depth=478
Iterator=490, queue=383, depth=479
Iterator=491, queue=384, depth=480
Iterator=492, queue=384, depth=481
Iterator=493, queue=385, depth=482
Iterator=494, queue=385, depth=483
Iterator=495, queue=386, depth=484
Iterator=496, queue=388, depth=485
Iterator=497, queue=389, depth=486
Iterator=498, queue=389, depth=487
Iterator=499, queue=390, depth=488
Iterator=500, queue=390, depth=489
Iterator=501, queue=391, depth=490
Iterator=502, queue=393, depth=491
Iterator=503, queue=394, depth=492
Iterator=504, queue=394, depth=493
Iterator=505, queue=395, depth=494
Iterator=506, queue=395, depth=495
Iterator=507, queue=396, depth=496
Iterator=508, queue=398, depth=497
Iterator=509, queue=399, depth=498
Iterator=510, queue=399, depth=499
Iterator=511, queue=400, depth=500
Iterator=512, queue=400, depth=501
Iterator=513, queue=401, depth=502
Iterator=514, queue=403, depth=503
Iterator=515, queue=404, depth=504
Iterator=516, queue=404, depth=505
Iterator=517, queue=404, depth=506
Iterator=518, queue=406, depth=507
Iterator=519, queue=407, depth=508
Iterator=520, queue=407, depth=509
Iterator=521, queue=408, depth=510
Iterator=522, queue=408, depth=511
Iterator=523, queue=409, depth=512
Iterator=524, queue=411, depth=513
Iterator=525, queue=412, depth=514
Iterator=526, queue=412, depth=515
Iterator=527, queue=413, depth=516
Iterator=528, queue=413, depth=517
Iterator=529, queue=414, depth=518
Iterator=530, queue=416, depth=519
Iterator=531, queue=417, depth=520
Iterator=532, queue=416, depth=520
Iterator=533, queue=416, depth=521
Iterator=534, queue=417, depth=522
Iterator=535, queue=417, depth=523
Iterator=536, queue=418, depth=524
Iterator=537, queue=420, depth=525
Iterator=538, queue=421, depth=526
Iterator=539, queue=421, depth=527
Iterator=540, queue=422, depth=528
Iterator=541, queue=422, depth=529
Iterator=542, queue=423, depth=530
Iterator=543, queue=425, depth=531
Iterator=544, queue=426, depth=532
Iterator=545, queue=426, depth=533
Iterator=546, queue=427, depth=534
Iterator=547, queue=427, depth=535
Iterator=548, queue=428, depth=536
Iterator=549, queue=430, depth=537
Iterator=550, queue=431, depth=538
Iterator=551, queue=431, depth=539
Iterator=552, queue=432, depth=540
Iterator=553, queue=432, depth=541
Iterator=554, queue=433, depth=542
Iterator=555, queue=435, depth=543
Iterator=556, queue=436, depth=544
Iterator=557, queue=436, depth=545
Iterator=558, queue=437, depth=546
Iterator=559, queue=437, depth=547
Iterator=560, queue=438, depth=548
Iterator=561, queue=440, depth=549
Iterator=562, queue=441, depth=550
Iterator=563, queue=441, depth=551
Iterator=564, queue=441, depth=552
Iterator=565, queue=443, depth=553
Iterator=566, queue=444, depth=554
Iterator=567, queue=444, depth=555
Iterator=568, queue=445, depth=556
Iterator=569, queue=445, depth=557
Iterator=570, queue=446, depth=558
Iterator=571, queue=448, depth=559
Iterator=572, queue=449, depth=560
Iterator=573, queue=449, depth=561
Iterator=574, queue=450, depth=562
Iterator=575, queue=450, depth=563
Iterator=576, queue=451, depth=564
Iterator=577, queue=453, depth=565
Iterator=578, queue=454, depth=566
Iterator=579, queue=453, depth=566
Iterator=580, queue=453, depth=567
Iterator=581, queue=454, depth=568
Iterator=582, queue=454, depth=569
Iterator=583, queue=455, depth=570
Iterator=584, queue=457, depth=571
Iterator=585, queue=458, depth=572
Iterator=586, queue=458, depth=573
Iterator=587, queue=459, depth=574
Iterator=588, queue=459, depth=575
Iterator=589, queue=460, depth=576
Iterator=590, queue=462, depth=577
Iterator=591, queue=463, depth=578
Iterator=592, queue=463, depth=579
Iterator=593, queue=464, depth=580
Iterator=594, queue=464, depth=581
Iterator=595, queue=465, depth=582
Iterator=596, queue=467, depth=583
Iterator=597, queue=468, depth=584
Iterator=598, queue=468, depth=585
Iterator=599, queue=469, depth=586
Iterator=600, queue=469, depth=587
Iterator=601, queue=470, depth=588
Iterator=602, queue=472, depth=589
Iterator=603, queue=473, depth=590
Iterator=604, queue=473, depth=591
Iterator=605, queue=474, depth=592
Iterator=606, queue=474, depth=593
Iterator=607, queue=475, depth=594
Iterator=608, queue=477, depth=595
Iterator=609, queue=478, depth=596
Iterator=610, queue=478, depth=597
Iterator=611, queue=478, depth=598
Iterator=612, queue=480, depth=599
Iterator=613, queue=481, depth=600
Iterator=614, queue=481, depth=601
Iterator=615, queue=482, depth=602
Iterator=616, queue=482, depth=603
Iterator=617, queue=483, depth=604
Iterator=618, queue=485, depth=605
Iterator=619, queue=486, depth=606
Iterator=620, queue=486, depth=607
Iterator=621, queue=487, depth=608
Iterator=622, queue=487, depth=609
Iterator=623, queue=488, depth=610
Iterator=624, queue=490, depth=611
Iterator=625, queue=491, depth=612
Iterator=626, queue=490, depth=612
Iterator=627, queue=490, depth=613
Iterator=628, queue=491, depth=614
Iterator=629, queue=491, depth=615
Iterator=630, queue=492, depth=616
Iterator=631, queue=494, depth=617
Iterator=632, queue=495, depth=618
Iterator=633, queue=495, depth=619
Iterator=634, queue=496, depth=620
Iterator=635, queue=496, depth=621
Iterator=636, queue=497, depth=622
Iterator=637, queue=499, depth=623
Iterator=638, queue=500, depth=624
Iterator=639, queue=500, depth=625
Iterator=640, queue=501, depth=626
Iterator=641, queue=501, depth=627
Iterator=642, queue=502, depth=628
Iterator=643, queue=504, depth=629
