Enter value for shuffling:Iterator=1, queue=1, depth=0
Iterator=8238, queue=6354, depth=8009
Iterator=8239, queue=6355, depth=8010
Iterator=8240, queue=6355, depth=8011
Iterator=8241, queue=6356, depth=8012
Iterator=8242, queue=6358, depth=8013
Iterator=8243, queue=6359, depth=8014
Iterator=8244, queue=6359, depth=8015
Iterator=8245, queue=6360, depth=8016
Iterator=8246, queue=6360, depth=8017
Iterator=8247, queue=6361, depth=8018
Iterator=8248, queue=6363, depth=8019
Iterator=8249, queue=6364, depth=8020
Iterator=8250, queue=6364, depth=8021
Iterator=8251, queue=6364, depth=8022
Iterator=8252, queue=6366, depth=8023
Iterator=8253, queue=6367, depth=8024
Iterator=8254, queue=6367, depth=8025
Iterator=8255, queue=6368, depth=8026
Iterator=8256, queue=6368, depth=8027
Iterator=8257, queue=6369, depth=8028
Iterator=8258, queue=6371, depth=8029
Iterator=8259, queue=6372, depth=8030
Iterator=8260, queue=6372, depth=8031
Iterator=8261, queue=6373, depth=8032
Iterator=8262, queue=6373, depth=8033
Iterator=8263, queue=6374, depth=8034
Iterator=8264, queue=6376, depth=8035
Iterator=8265, queue=6377, depth=8036
Iterator=8266, queue=6376, depth=8036
Iterator=8267, queue=6376, depth=8037
Iterator=8268, queue=6377, depth=8038
Iterator=8269, queue=6377, depth=8039
Iterator=8270, queue=6378, depth=8040
Iterator=8271, queue=6380, depth=8041
Iterator=8272, queue=6381, depth=8042
Iterator=8273, queue=6381, depth=8043
Iterator=8274, queue=6381, depth=8044
Iterator=8275, queue=6381, depth=8045
Iterator=8276, queue=6382, depth=8046
Iterator=8277, queue=6384, depth=8047
Iterator=8278, queue=6385, depth=8048
Iterator=8279, queue=6385, depth=8049
Iterator=8280, queue=6386, depth=8050
Iterator=8281, queue=6386, depth=8051
Iterator=8282, queue=6387, depth=8052
Iterator=8283, queue=6389, depth=8053
Iterator=8284, queue=6390, depth=8054
Iterator=8285, queue=6390, depth=8055
Iterator=8286, queue=6391, depth=8056
Iterator=8287, queue=6391, depth=8057
Iterator=8288, queue=6392, depth=8058
Iterator=8289, queue=6394, depth=8059
Iterator=8290, queue=6395, depth=8060
Iterator=8291, queue=6395, depth=8061
Iterator=8292, queue=6396, depth=8062
Iterator=8293, queue=6396, depth=8063
Iterator=8294, queue=6397, depth=8064
Iterator=8295, queue=6399, depth=8065
Iterator=8296, queue=6400, depth=8066
Iterator=8297, queue=6400, depth=8067
Iterator=8298, queue=6400, depth=8068
Iterator=8299, queue=6402, depth=8069
Iterator=8300, queue=6403, depth=8070
Iterator=8301, queue=6403, depth=8071
Iterator=8302, queue=6404, depth=8072
Iterator=8303, queue=6404, depth=8073
Iterator=8304, queue=6405, depth=8074
Iterator=8305, queue=6407, depth=8075
Iterator=8306, queue=6408, depth=8076
Iterator=8307, queue=6408, depth=8077
Iterator=8308, queue=6409, depth=8078
Iterator=8309, queue=6409, depth=8079
Iterator=8310, queue=6410, depth=8080
Iterator=8311, queue=6412, depth=8081
Iterator=8312, queue=6413, depth=8082
Iterator=8313, queue=6412, depth=8082
Iterator=8314, queue=6412, depth=8083
Iterator=8315, queue=6412, depth=8084
Iterator=8316, queue=6414, depth=8085
Iterator=8317, queue=6415, depth=8086
Iterator=8318, queue=6415, depth=8087
Iterator=8319, queue=6416, depth=8088
Iterator=8320, queue=6416, depth=8089
Iterator=8321, queue=6417, depth=8090
Iterator=8322, queue=6419, depth=8091
Iterator=8323, queue=6420, depth=8092
Iterator=8324, queue=6420, depth=8093
Iterator=8325, queue=6421, depth=8094
Iterator=8326, queue=6421, depth=8095
Iterator=8327, queue=6421, depth=8096
Iterator=8328, queue=6421, depth=8097
Iterator=8329, queue=6422, depth=8098
Iterator=8330, queue=6422, depth=8099
Iterator=8331, queue=6423, depth=8100
Iterator=8332, queue=6425, depth=8101
Iterator=8333, queue=6426, depth=8102
Iterator=8334, queue=6426, depth=8103
Iterator=8335, queue=6427, depth=8104
Iterator=8336, queue=6427, depth=8105
Iterator=8337, queue=6428, depth=8106
Iterator=8338, queue=6430, depth=8107
Iterator=8339, queue=6431, depth=8108
Iterator=8340, queue=6431, depth=8109
Iterator=8341, queue=6432, depth=8110
Iterator=8342, queue=6432, depth=8111
Iterator=8343, queue=6433, depth=8112
Iterator=8344, queue=6435, depth=8113
Iterator=8345, queue=6436, depth=8114
Iterator=8346, queue=6436, depth=8115
Iterator=8347, queue=6437, depth=8116
Iterator=8348, queue=6437, depth=8117
Iterator=8349, queue=6438, depth=8118
Iterator=8350, queue=6440, depth=8119
Iterator=8351, queue=6441, depth=8120
Iterator=8352, queue=6441, depth=8121
Iterator=8353, queue=6442, depth=8122
Iterator=8354, queue=6442, depth=8123
Iterator=8355, queue=6443, depth=8124
Iterator=8356, queue=6445, depth=8125
Iterator=8357, queue=6446, depth=8126
Iterator=8358, queue=6446, depth=8127
Iterator=8359, queue=6446, depth=8128
Iterator=8360, queue=6448, depth=8129
Iterator=8361, queue=6449, depth=8130
Iterator=8362, queue=6449, depth=8131
Iterator=8363, queue=6450, depth=8132
Iterator=8364, queue=6450, depth=8133
Iterator=8365, queue=6451, depth=8134
Iterator=8366, queue=6453, depth=8135
Iterator=8367, queue=6454, depth=8136
Iterator=8368, queue=6454, depth=8137
Iterator=8369, queue=6455, depth=8138
Iterator=8370, queue=6455, depth=8139
Iterator=8371, queue=6456, depth=8140
Iterator=8372, queue=6458, depth=8141
Iterator=8373, queue=6459, depth=8142
Iterator=8374, queue=6458, depth=8142
Iterator=8375, queue=6458, depth=8143
Iterator=8376, queue=6459, depth=8144
Iterator=8377, queue=6459, depth=8145
Iterator=8378, queue=6460, depth=8146
Iterator=8379, queue=6462, depth=8147
Iterator=8380, queue=6463, depth=8148
Iterator=8381, queue=6463, depth=8149
Iterator=8382, queue=6464, depth=8150
Iterator=8383, queue=6464, depth=8151
Iterator=8384, queue=6465, depth=8152
Iterator=8385, queue=6467, depth=8153
Iterator=8386, queue=6468, depth=8154
Iterator=8387, queue=6468, depth=8155
Iterator=8388, queue=6469, depth=8156
Iterator=8389, queue=6469, depth=8157
Iterator=8390, queue=6470, depth=8158
Iterator=8391, queue=6472, depth=8159
Iterator=8392, queue=6473, depth=8160
Iterator=8393, queue=6473, depth=8161
Iterator=8394, queue=6474, depth=8162
Iterator=8395, queue=6474, depth=8163
Iterator=8396, queue=6475, depth=8164
Iterator=8397, queue=6477, depth=8165
Iterator=8398, queue=6478, depth=8166
Iterator=8399, queue=6478, depth=8167
Iterator=8400, queue=6479, depth=8168
Iterator=8401, queue=6479, depth=8169
Iterator=8402, queue=6480, depth=8170
Iterator=8403, queue=6482, depth=8171
Iterator=8404, queue=6483, depth=8172
Iterator=8405, queue=6483, depth=8173
Iterator=8406, queue=6483, depth=8174
Iterator=8407, queue=6485, depth=8175
Iterator=8408, queue=6486, depth=8176
Iterator=8409, queue=6486, depth=8177
Iterator=8410, queue=6487, depth=8178
Iterator=8411, queue=6487, depth=8179
Iterator=8412, queue=6488, depth=8180
Iterator=8413, queue=6490, depth=8181
Iterator=8414, queue=6491, depth=8182
Iterator=8415, queue=6491, depth=8183
Iterator=8416, queue=6492, depth=8184
Iterator=8417, queue=6492, depth=8185
Iterator=8418, queue=6493, depth=8186
Iterator=8419, queue=6495, depth=8187
Iterator=8420, queue=6496, depth=8188
Iterator=8421, queue=6495, depth=8188
Iterator=8422, queue=6495, depth=8189
Iterator=8423, queue=6496, depth=8190
Iterator=8424, queue=6496, depth=8191
Iterator=8425, queue=6497, depth=8192
Iterator=8426, queue=6499, depth=8193
Iterator=8427, queue=6500, depth=8194
Iterator=8428, queue=6500, depth=8195
Iterator=8429, queue=6501, depth=8196
Iterator=8430, queue=6501, depth=8197
Iterator=8431, queue=6502, depth=8198
Iterator=8432, queue=6504, depth=8199
Iterator=8433, queue=6505, depth=8200
Iterator=8434, queue=6505, depth=8201
Iterator=8435, queue=6506, depth=8202
Iterator=8436, queue=6506, depth=8203
Iterator=8437, queue=6507, depth=8204
Iterator=8438, queue=6509, depth=8205
Iterator=8439, queue=6510, depth=8206
Iterator=8440, queue=6510, depth=8207
Iterator=8441, queue=6511, depth=8208
Iterator=8442, queue=6511, depth=8209
Iterator=8443, queue=6512, depth=8210
Iterator=8444, queue=6514, depth=8211
Iterator=8445, queue=6515, depth=8212
Iterator=8446, queue=6515, depth=8213
Iterator=8447, queue=6516, depth=8214
Iterator=8448, queue=6516, depth=8215
Iterator=8449, queue=6517, depth=8216
Iterator=8450, queue=6519, depth=8217
Iterator=8451, queue=6520, depth=8218
Iterator=8452, queue=6520, depth=8219
Iterator=8453, queue=6520, depth=8220
Iterator=8454, queue=6522, depth=8221
Iterator=8455, queue=6523, depth=8222
Iterator=8456, queue=6523, depth=8223
Iterator=8457, queue=6524, depth=8224
Iterator=8458, queue=6524, depth=8225
Iterator=8459, queue=6525, depth=8226
Iterator=8460, queue=6527, depth=8227
Iterator=8461, queue=6528, depth=8228
Iterator=8462, queue=6528, depth=8229
Iterator=8463, queue=6529, depth=8230
Iterator=8464, queue=6529, depth=8231
Iterator=8465, queue=6530, depth=8232
Iterator=8466, queue=6532, depth=8233
Iterator=8467, queue=6533, depth=8234
Iterator=8468, queue=6532, depth=8234
Iterator=8469, queue=6532, depth=8235
Iterator=8470, queue=6533, depth=8236
Iterator=8471, queue=6533, depth=8237
Iterator=8472, queue=6534, depth=8238
Iterator=8473, queue=6536, depth=8239
Iterator=8474, queue=6537, depth=8240
Iterator=8475, queue=6537, depth=8241
Iterator=8476, queue=6538, depth=8242
Iterator=8477, queue=6538, depth=8243
Iterator=8478, queue=6539, depth=8244
Iterator=8479, queue=6541, depth=8245
Iterator=8480, queue=6542, depth=8246
Iterator=8481, queue=6542, depth=8247
Iterator=8482, queue=6543, depth=8248
Iterator=8483, queue=6543, depth=8249
Iterator=8484, queue=6544, depth=8250
Iterator=8485, queue=6546, depth=8251
Iterator=8486, queue=6547, depth=8252
Iterator=8487, queue=6547, depth=8253
Iterator=8488, queue=6548, depth=8254
Iterator=8489, queue=6548, depth=8255
Iterator=8490, queue=6548, depth=8256
Iterator=8491, queue=6547, depth=8254
Iterator=8492, queue=6549, depth=8255
Iterator=8493, queue=6550, depth=8256
Iterator=8494, queue=6550, depth=8257
Iterator=8495, queue=6551, depth=8258
Iterator=8496, queue=6551, depth=8259
Iterator=8497, queue=6552, depth=8260
Iterator=8498, queue=6554, depth=8261
Iterator=8499, queue=6555, depth=8262
Iterator=8500, queue=6554, depth=8262
Iterator=8501, queue=6554, depth=8263
Iterator=8502, queue=6555, depth=8264
Iterator=8503, queue=6555, depth=8265
Iterator=8504, queue=6556, depth=8266
Iterator=8505, queue=6558, depth=8267
Iterator=8506, queue=6559, depth=8268
Iterator=8507, queue=6559, depth=8269
Iterator=8508, queue=6560, depth=8270
Iterator=8509, queue=6560, depth=8271
Iterator=8510, queue=6561, depth=8272
Iterator=8511, queue=6563, depth=8273
Iterator=8512, queue=6564, depth=8274
Iterator=8513, queue=6564, depth=8275
Iterator=8514, queue=6565, depth=8276
Iterator=8515, queue=6565, depth=8277
Iterator=8516, queue=6566, depth=8278
Iterator=8517, queue=6568, depth=8279
Iterator=8518, queue=6569, depth=8280
Iterator=8519, queue=6569, depth=8281
Iterator=8520, queue=6570, depth=8282
Iterator=8521, queue=6570, depth=8283
Iterator=8522, queue=6571, depth=8284
Iterator=8523, queue=6573, depth=8285
Iterator=8524, queue=6574, depth=8286
Iterator=8525, queue=6574, depth=8287
Iterator=8526, queue=6575, depth=8288
Iterator=8527, queue=6575, depth=8289
Iterator=8528, queue=6576, depth=8290
Iterator=8529, queue=6578, depth=8291
Iterator=8530, queue=6579, depth=8292
Iterator=8531, queue=6579, depth=8293
Iterator=8532, queue=6579, depth=8294
Iterator=8533, queue=6581, depth=8295
Iterator=8534, queue=6582, depth=8296
Iterator=8535, queue=6582, depth=8297
Iterator=8536, queue=6583, depth=8298
Iterator=8537, queue=6583, depth=8299
Iterator=8538, queue=6584, depth=8300
Iterator=8539, queue=6586, depth=8301
Iterator=8540, queue=6587, depth=8302
Iterator=8541, queue=6587, depth=8303
Iterator=8542, queue=6588, depth=8304
Iterator=8543, queue=6588, depth=8305
Iterator=8544, queue=6589, depth=8306
Iterator=8545, queue=6591, depth=8307
Iterator=8546, queue=6592, depth=8308
Iterator=8547, queue=6591, depth=8308
Iterator=8548, queue=6591, depth=8309
Iterator=8549, queue=6592, depth=8310
Iterator=8550, queue=6592, depth=8311
Iterator=8551, queue=6593, depth=8312
Iterator=8552, queue=6595, depth=8313
Iterator=8553, queue=6596, depth=8314
Iterator=8554, queue=6596, depth=8315
Iterator=8555, queue=6597, depth=8316
Iterator=8556, queue=6597, depth=8317
Iterator=8557, queue=6598, depth=8318
Iterator=8558, queue=6600, depth=8319
Iterator=8559, queue=6601, depth=8320
Iterator=8560, queue=6601, depth=8321
Iterator=8561, queue=6602, depth=8322
Iterator=8562, queue=6602, depth=8323
Iterator=8563, queue=6602, depth=8324
Iterator=8564, queue=6602, depth=8325
Iterator=8565, queue=6603, depth=8326
Iterator=8566, queue=6603, depth=8327
Iterator=8567, queue=6604, depth=8328
Iterator=8568, queue=6606, depth=8329
Iterator=8569, queue=6607, depth=8330
Iterator=8570, queue=6607, depth=8331
Iterator=8571, queue=6608, depth=8332
Iterator=8572, queue=6608, depth=8333
Iterator=8573, queue=6609, depth=8334
Iterator=8574, queue=6611, depth=8335
Iterator=8575, queue=6612, depth=8336
Iterator=8576, queue=6612, depth=8337
Iterator=8577, queue=6613, depth=8338
Iterator=8578, queue=6613, depth=8339
Iterator=8579, queue=6614, depth=8340
Iterator=8580, queue=6616, depth=8341
Iterator=8581, queue=6617, depth=8342
Iterator=8582, queue=6617, depth=8343
Iterator=8583, queue=6618, depth=8344
Iterator=8584, queue=6618, depth=8345
Iterator=8585, queue=6619, depth=8346
Iterator=8586, queue=6621, depth=8347
Iterator=8587, queue=6622, depth=8348
Iterator=8588, queue=6622, depth=8349
Iterator=8589, queue=6623, depth=8350
Iterator=8590, queue=6623, depth=8351
Iterator=8591, queue=6624, depth=8352
Iterator=8592, queue=6626, depth=8353
Iterator=8593, queue=6627, depth=8354
Iterator=8594, queue=6627, depth=8355
Iterator=8595, queue=6627, depth=8356
Iterator=8596, queue=6629, depth=8357
Iterator=8597, queue=6630, depth=8358
Iterator=8598, queue=6630, depth=8359
Iterator=8599, queue=6631, depth=8360
Iterator=8600, queue=6631, depth=8361
Iterator=8601, queue=6631, depth=8362
Iterator=8602, queue=6631, depth=8363
Iterator=8603, queue=6632, depth=8364
Iterator=8604, queue=6632, depth=8365
Iterator=8605, queue=6633, depth=8366
Iterator=8606, queue=6635, depth=8367
Iterator=8607, queue=6636, depth=8368
Iterator=8608, queue=6636, depth=8369
Iterator=8609, queue=6637, depth=8370
Iterator=8610, queue=6637, depth=8371
Iterator=8611, queue=6638, depth=8372
Iterator=8612, queue=6640, depth=8373
Iterator=8613, queue=6641, depth=8374
Iterator=8614, queue=6641, depth=8375
Iterator=8615, queue=6642, depth=8376
Iterator=8616, queue=6642, depth=8377
Iterator=8617, queue=6643, depth=8378
Iterator=8618, queue=6645, depth=8379
Iterator=8619, queue=6646, depth=8380
Iterator=8620, queue=6646, depth=8381
Iterator=8621, queue=6647, depth=8382
Iterator=8622, queue=6647, depth=8383
Iterator=8623, queue=6648, depth=8384
Iterator=8624, queue=6650, depth=8385
Iterator=8625, queue=6651, depth=8386
Iterator=8626, queue=6651, depth=8387
Iterator=8627, queue=6652, depth=8388
Iterator=8628, queue=6652, depth=8389
Iterator=8629, queue=6653, depth=8390
Iterator=8630, queue=6655, depth=8391
Iterator=8631, queue=6656, depth=8392
Iterator=8632, queue=6656, depth=8393
Iterator=8633, queue=6656, depth=8394
Iterator=8634, queue=6658, depth=8395
Iterator=8635, queue=6659, depth=8396
Iterator=8636, queue=6659, depth=8397
Iterator=8637, queue=6660, depth=8398
Iterator=8638, queue=6660, depth=8399
Iterator=8639, queue=6661, depth=8400
Iterator=8640, queue=6663, depth=8401
Iterator=8641, queue=6664, depth=8402
Iterator=8642, queue=6664, depth=8403
Iterator=8643, queue=6665, depth=8404
Iterator=8644, queue=6665, depth=8405
Iterator=8645, queue=6666, depth=8406
Iterator=8646, queue=6668, depth=8407
Iterator=8647, queue=6669, depth=8408
Iterator=8648, queue=6668, depth=8408
Iterator=8649, queue=6668, depth=8409
Iterator=8650, queue=6669, depth=8410
Iterator=8651, queue=6669, depth=8411
Iterator=8652, queue=6669, depth=8412
Iterator=8653, queue=6669, depth=8413
Iterator=8654, queue=6670, depth=8414
Iterator=8655, queue=6670, depth=8415
Iterator=8656, queue=6671, depth=8416
Iterator=8657, queue=6673, depth=8417
Iterator=8658, queue=6674, depth=8418
Iterator=8659, queue=6674, depth=8419
Iterator=8660, queue=6675, depth=8420
Iterator=8661, queue=6675, depth=8421
Iterator=8662, queue=6676, depth=8422
Iterator=8663, queue=6678, depth=8423
Iterator=8664, queue=6679, depth=8424
Iterator=8665, queue=6678, depth=8424
Iterator=8666, queue=6678, depth=8425
Iterator=8667, queue=6679, depth=8426
Iterator=8668, queue=6679, depth=8427
Iterator=8669, queue=6679, depth=8428
Iterator=8670, queue=6679, depth=8429
Iterator=8671, queue=6680, depth=8430
Iterator=8672, queue=6680, depth=8431
Iterator=8673, queue=6680, depth=8432
Iterator=8674, queue=6680, depth=8433
Iterator=8675, queue=6681, depth=8434
Iterator=8676, queue=6681, depth=8435
Iterator=8677, queue=6682, depth=8436
Iterator=8678, queue=6684, depth=8437
Iterator=8679, queue=6685, depth=8438
Iterator=8680, queue=6685, depth=8439
Iterator=8681, queue=6686, depth=8440
Iterator=8682, queue=6686, depth=8441
Iterator=8683, queue=6687, depth=8442
Iterator=8684, queue=6689, depth=8443
Iterator=8685, queue=6690, depth=8444
Iterator=8686, queue=6690, depth=8445
Iterator=8687, queue=6691, depth=8446
Iterator=8688, queue=6691, depth=8447
Iterator=8689, queue=6692, depth=8448
Iterator=8690, queue=6694, depth=8449
Iterator=8691, queue=6695, depth=8450
Iterator=8692, queue=6695, depth=8451
Iterator=8693, queue=6696, depth=8452
Iterator=8694, queue=6696, depth=8453
Iterator=8695, queue=6697, depth=8454
Iterator=8696, queue=6699, depth=8455
Iterator=8697, queue=6700, depth=8456
Iterator=8698, queue=6700, depth=8457
Iterator=8699, queue=6701, depth=8458
Iterator=8700, queue=6701, depth=8459
Iterator=8701, queue=6702, depth=8460
Iterator=8702, queue=6704, depth=8461
Iterator=8703, queue=6705, depth=8462
Iterator=8704, queue=6705, depth=8463
Iterator=8705, queue=6705, depth=8464
Iterator=8706, queue=6707, depth=8465
Iterator=8707, queue=6708, depth=8466
Iterator=8708, queue=6708, depth=8467
Iterator=8709, queue=6709, depth=8468
Iterator=8710, queue=6709, depth=8469
Iterator=8711, queue=6710, depth=8470
Iterator=8712, queue=6712, depth=8471
Iterator=8713, queue=6713, depth=8472
Iterator=8714, queue=6713, depth=8473
Iterator=8715, queue=6714, depth=8474
Iterator=8716, queue=6714, depth=8475
Iterator=8717, queue=6715, depth=8476
Iterator=8718, queue=6717, depth=8477
Iterator=8719, queue=6718, depth=8478
Iterator=8720, queue=6717, depth=8478
Iterator=8721, queue=6717, depth=8479
Iterator=8722, queue=6718, depth=8480
Iterator=8723, queue=6718, depth=8481
Iterator=8724, queue=6719, depth=8482
Iterator=8725, queue=6721, depth=8483
Iterator=8726, queue=6722, depth=8484
Iterator=8727, queue=6722, depth=8485
Iterator=8728, queue=6723, depth=8486
Iterator=8729, queue=6723, depth=8487
Iterator=8730, queue=6724, depth=8488
Iterator=8731, queue=6726, depth=8489
Iterator=8732, queue=6727, depth=8490
Iterator=8733, queue=6727, depth=8491
Iterator=8734, queue=6728, depth=8492
Iterator=8735, queue=6728, depth=8493
Iterator=8736, queue=6729, depth=8494
Iterator=8737, queue=6731, depth=8495
Iterator=8738, queue=6732, depth=8496
Iterator=8739, queue=6732, depth=8497
Iterator=8740, queue=6733, depth=8498
Iterator=8741, queue=6733, depth=8499
Iterator=8742, queue=6734, depth=8500
Iterator=8743, queue=6736, depth=8501
Iterator=8744, queue=6737, depth=8502
Iterator=8745, queue=6737, depth=8503
Iterator=8746, queue=6738, depth=8504
Iterator=8747, queue=6738, depth=8505
Iterator=8748, queue=6739, depth=8506
Iterator=8749, queue=6741, depth=8507
Iterator=8750, queue=6742, depth=8508
Iterator=8751, queue=6742, depth=8509
Iterator=8752, queue=6742, depth=8510
Iterator=8753, queue=6744, depth=8511
Iterator=8754, queue=6745, depth=8512
Iterator=8755, queue=6745, depth=8513
Iterator=8756, queue=6746, depth=8514
Iterator=8757, queue=6746, depth=8515
Iterator=8758, queue=6747, depth=8516
Iterator=8759, queue=6749, depth=8517
Iterator=8760, queue=6750, depth=8518
Iterator=8761, queue=6750, depth=8519
Iterator=8762, queue=6751, depth=8520
Iterator=8763, queue=6751, depth=8521
Iterator=8764, queue=6752, depth=8522
Iterator=8765, queue=6754, depth=8523
Iterator=8766, queue=6755, depth=8524
Iterator=8767, queue=6754, depth=8524
Iterator=8768, queue=6754, depth=8525
Iterator=8769, queue=6754, depth=8526
Iterator=8770, queue=6754, depth=8527
Iterator=8771, queue=6755, depth=8528
Iterator=8772, queue=6757, depth=8529
Iterator=8773, queue=6758, depth=8530
Iterator=8774, queue=6758, depth=8531
Iterator=8775, queue=6759, depth=8532
Iterator=8776, queue=6759, depth=8533
Iterator=8777, queue=6760, depth=8534
Iterator=8778, queue=6762, depth=8535
Iterator=8779, queue=6763, depth=8536
Iterator=8780, queue=6763, depth=8537
Iterator=8781, queue=6764, depth=8538
Iterator=8782, queue=6764, depth=8539
Iterator=8783, queue=6765, depth=8540
Iterator=8784, queue=6767, depth=8541
Iterator=8785, queue=6768, depth=8542
Iterator=8786, queue=6768, depth=8543
Iterator=8787, queue=6769, depth=8544
Iterator=8788, queue=6769, depth=8545
Iterator=8789, queue=6770, depth=8546
Iterator=8790, queue=6772, depth=8547
Iterator=8791, queue=6773, depth=8548
Iterator=8792, queue=6773, depth=8549
Iterator=8793, queue=6774, depth=8550
Iterator=8794, queue=6774, depth=8551
Iterator=8795, queue=6775, depth=8552
Iterator=8796, queue=6777, depth=8553
Iterator=8797, queue=6778, depth=8554
Iterator=8798, queue=6778, depth=8555
Iterator=8799, queue=6778, depth=8556
Iterator=8800, queue=6780, depth=8557
Iterator=8801, queue=6781, depth=8558
Iterator=8802, queue=6781, depth=8559
Iterator=8803, queue=6782, depth=8560
Iterator=8804, queue=6782, depth=8561
Iterator=8805, queue=6783, depth=8562
Iterator=8806, queue=6785, depth=8563
Iterator=8807, queue=6786, depth=8564
Iterator=8808, queue=6786, depth=8565
Iterator=8809, queue=6787, depth=8566
Iterator=8810, queue=6787, depth=8567
Iterator=8811, queue=6788, depth=8568
Iterator=8812, queue=6790, depth=8569
Iterator=8813, queue=6791, depth=8570
Iterator=8814, queue=6790, depth=8570
Iterator=8815, queue=6790, depth=8571
Iterator=8816, queue=6791, depth=8572
Iterator=8817, queue=6791, depth=8573
Iterator=8818, queue=6792, depth=8574
Iterator=8819, queue=6794, depth=8575
Iterator=8820, queue=6795, depth=8576
Iterator=8821, queue=6795, depth=8577
Iterator=8822, queue=6796, depth=8578
Iterator=8823, queue=6796, depth=8579
Iterator=8824, queue=6797, depth=8580
Iterator=8825, queue=6799, depth=8581
Iterator=8826, queue=6800, depth=8582
Iterator=8827, queue=6800, depth=8583
Iterator=8828, queue=6801, depth=8584
Iterator=8829, queue=6801, depth=8585
Iterator=8830, queue=6802, depth=8586
Iterator=8831, queue=6804, depth=8587
Iterator=8832, queue=6805, depth=8588
Iterator=8833, queue=6805, depth=8589
Iterator=8834, queue=6806, depth=8590
Iterator=8835, queue=6806, depth=8591
Iterator=8836, queue=6807, depth=8592
Iterator=8837, queue=6809, depth=8593
Iterator=8838, queue=6810, depth=8594
Iterator=8839, queue=6810, depth=8595
Iterator=8840, queue=6811, depth=8596
Iterator=8841, queue=6811, depth=8597
Iterator=8842, queue=6812, depth=8598
Iterator=8843, queue=6814, depth=8599
Iterator=8844, queue=6815, depth=8600
Iterator=8845, queue=6815, depth=8601
Iterator=8846, queue=6815, depth=8602
Iterator=8847, queue=6817, depth=8603
Iterator=8848, queue=6818, depth=8604
Iterator=8849, queue=6818, depth=8605
Iterator=8850, queue=6819, depth=8606
Iterator=8851, queue=6819, depth=8607
Iterator=8852, queue=6820, depth=8608
Iterator=8853, queue=6822, depth=8609
Iterator=8854, queue=6823, depth=8610
Iterator=8855, queue=6823, depth=8611
Iterator=8856, queue=6824, depth=8612
Iterator=8857, queue=6824, depth=8613
Iterator=8858, queue=6825, depth=8614
Iterator=8859, queue=6827, depth=8615
Iterator=8860, queue=6828, depth=8616
Iterator=8861, queue=6827, depth=8616
Iterator=8862, queue=6827, depth=8617
Iterator=8863, queue=6828, depth=8618
Iterator=8864, queue=6828, depth=8619
Iterator=8865, queue=6829, depth=8620
Iterator=8866, queue=6831, depth=8621
Iterator=8867, queue=6832, depth=8622
Iterator=8868, queue=6832, depth=8623
Iterator=8869, queue=6833, depth=8624
Iterator=8870, queue=6833, depth=8625
Iterator=8871, queue=6834, depth=8626
Iterator=8872, queue=6836, depth=8627
Iterator=8873, queue=6837, depth=8628
Iterator=8874, queue=6837, depth=8629
Iterator=8875, queue=6838, depth=8630
Iterator=8876, queue=6838, depth=8631
Iterator=8877, queue=6839, depth=8632
Iterator=8878, queue=6841, depth=8633
Iterator=8879, queue=6842, depth=8634
Iterator=8880, queue=6842, depth=8635
Iterator=8881, queue=6843, depth=8636
Iterator=8882, queue=6843, depth=8637
Iterator=8883, queue=6844, depth=8638
Iterator=8884, queue=6846, depth=8639
Iterator=8885, queue=6847, depth=8640
Iterator=8886, queue=6847, depth=8641
Iterator=8887, queue=6848, depth=8642
Iterator=8888, queue=6848, depth=8643
Iterator=8889, queue=6849, depth=8644
Iterator=8890, queue=6851, depth=8645
Iterator=8891, queue=6852, depth=8646
Iterator=8892, queue=6852, depth=8647
Iterator=8893, queue=6852, depth=8648
Iterator=8894, queue=6854, depth=8649
Iterator=8895, queue=6855, depth=8650
Iterator=8896, queue=6855, depth=8651
Iterator=8897, queue=6856, depth=8652
Iterator=8898, queue=6856, depth=8653
Iterator=8899, queue=6857, depth=8654
Iterator=8900, queue=6859, depth=8655
Iterator=8901, queue=6860, depth=8656
Iterator=8902, queue=6860, depth=8657
Iterator=8903, queue=6861, depth=8658
Iterator=8904, queue=6861, depth=8659
Iterator=8905, queue=6862, depth=8660
Iterator=8906, queue=6864, depth=8661
Iterator=8907, queue=6865, depth=8662
Iterator=8908, queue=6864, depth=8662
Iterator=8909, queue=6864, depth=8663
Iterator=8910, queue=6865, depth=8664
Iterator=8911, queue=6865, depth=8665
Iterator=8912, queue=6866, depth=8666
Iterator=8913, queue=6868, depth=8667
Iterator=8914, queue=6869, depth=8668
Iterator=8915, queue=6869, depth=8669
Iterator=8916, queue=6870, depth=8670
Iterator=8917, queue=6870, depth=8671
Iterator=8918, queue=6871, depth=8672
Iterator=8919, queue=6873, depth=8673
Iterator=8920, queue=6874, depth=8674
Iterator=8921, queue=6874, depth=8675
Iterator=8922, queue=6875, depth=8676
Iterator=8923, queue=6874, depth=8676
Iterator=8924, queue=6876, depth=8677
Iterator=8925, queue=6877, depth=8678
Iterator=8926, queue=6877, depth=8679
Iterator=8927, queue=6878, depth=8680
Iterator=8928, queue=6878, depth=8681
Iterator=8929, queue=6879, depth=8682
Iterator=8930, queue=6881, depth=8683
Iterator=8931, queue=6882, depth=8684
Iterator=8932, queue=6882, depth=8685
Iterator=8933, queue=6883, depth=8686
Iterator=8934, queue=6883, depth=8687
Iterator=8935, queue=6883, depth=8688
