Iterator=188, queue=356, depth=1
Iterator=189, queue=358, depth=1
Iterator=190, queue=360, depth=3
Iterator=191, queue=362, depth=3
Iterator=192, queue=364, depth=3
Iterator=193, queue=366, depth=1
Iterator=194, queue=368, depth=3
Iterator=195, queue=370, depth=1
Iterator=196, queue=372, depth=3
Iterator=197, queue=374, depth=3
Iterator=198, queue=376, depth=3
Iterator=199, queue=378, depth=1
Iterator=200, queue=380, depth=1
Iterator=201, queue=382, depth=1
Iterator=202, queue=384, depth=2
Iterator=203, queue=385, depth=0
Iterator=204, queue=386, depth=2
Iterator=205, queue=389, depth=4
Iterator=206, queue=392, depth=4
Iterator=207, queue=393, depth=2
Iterator=208, queue=394, depth=2
Iterator=209, queue=395, depth=0
Iterator=210, queue=396, depth=2
Iterator=211, queue=399, depth=2
Iterator=212, queue=402, depth=2
Iterator=213, queue=403, depth=0
Iterator=214, queue=404, depth=2
Iterator=215, queue=407, depth=4
Iterator=216, queue=408, depth=4
Iterator=217, queue=409, depth=2
Iterator=218, queue=412, depth=4
Iterator=219, queue=413, depth=4
Iterator=220, queue=414, depth=4
Iterator=221, queue=415, depth=4
Iterator=222, queue=416, depth=2
Iterator=223, queue=419, depth=2
Iterator=224, queue=420, depth=0
Iterator=225, queue=421, depth=2
Iterator=226, queue=424, depth=4
Iterator=227, queue=427, depth=4
Iterator=228, queue=428, depth=2
Iterator=229, queue=429, depth=4
Iterator=230, queue=432, depth=6
Iterator=231, queue=433, depth=6
Iterator=232, queue=434, depth=6
Iterator=233, queue=435, depth=6
Iterator=234, queue=436, depth=4
Iterator=235, queue=439, depth=6
Iterator=236, queue=440, depth=6
Iterator=237, queue=441, depth=4
Iterator=238, queue=444, depth=4
Iterator=239, queue=445, depth=6
Iterator=240, queue=446, depth=6
Iterator=241, queue=449, depth=4
Iterator=242, queue=452, depth=4
Iterator=243, queue=453, depth=2
Iterator=244, queue=454, depth=2
Iterator=245, queue=455, depth=0
Iterator=246, queue=456, depth=2
Iterator=247, queue=459, depth=4
Iterator=248, queue=462, depth=4
Iterator=249, queue=463, depth=2
Iterator=250, queue=464, depth=2
Iterator=251, queue=465, depth=0
Iterator=252, queue=466, depth=2
Iterator=253, queue=469, depth=4
Iterator=254, queue=472, depth=4
Iterator=255, queue=473, depth=2
Iterator=256, queue=474, depth=2
Iterator=257, queue=475, depth=0
Iterator=258, queue=476, depth=2
Iterator=259, queue=479, depth=2
Iterator=260, queue=482, depth=2
Iterator=261, queue=483, depth=0
Iterator=262, queue=484, depth=2
Iterator=263, queue=487, depth=4
Iterator=264, queue=488, depth=4
Iterator=265, queue=489, depth=2
Iterator=266, queue=492, depth=4
Iterator=267, queue=493, depth=4
Iterator=268, queue=494, depth=4
Iterator=269, queue=495, depth=4
Iterator=270, queue=496, depth=2
Iterator=271, queue=499, depth=2
Iterator=272, queue=500, depth=0
Iterator=273, queue=501, depth=2
Iterator=274, queue=504, depth=2
Iterator=275, queue=507, depth=4
Iterator=276, queue=508, depth=4
Iterator=277, queue=509, depth=2
Iterator=278, queue=512, depth=2
Iterator=279, queue=513, depth=0
Iterator=280, queue=514, depth=4
Iterator=281, queue=515, depth=4
Iterator=282, queue=516, depth=2
Iterator=283, queue=519, depth=4
Iterator=284, queue=520, depth=4
Iterator=285, queue=521, depth=2
Iterator=286, queue=524, depth=4
Iterator=287, queue=525, depth=2
Iterator=288, queue=526, depth=4
Iterator=289, queue=529, depth=2
Iterator=290, queue=532, depth=2
Iterator=291, queue=533, depth=0
Iterator=292, queue=534, depth=2
Iterator=293, queue=535, depth=0
Iterator=294, queue=536, depth=2
Iterator=295, queue=539, depth=2
Iterator=296, queue=542, depth=2
Iterator=297, queue=543, depth=0
Iterator=298, queue=544, depth=2
Iterator=299, queue=547, depth=4
Iterator=300, queue=548, depth=4
Iterator=301, queue=549, depth=2
Iterator=302, queue=552, depth=4
Iterator=303, queue=553, depth=4
Iterator=304, queue=554, depth=4
Iterator=305, queue=555, depth=4
Iterator=306, queue=556, depth=2
Iterator=307, queue=559, depth=2
Iterator=308, queue=560, depth=0
Iterator=309, queue=561, depth=2
Iterator=310, queue=564, depth=4
Iterator=311, queue=565, depth=6
Iterator=312, queue=566, depth=6
Iterator=313, queue=569, depth=2
Iterator=314, queue=572, depth=4
Iterator=315, queue=573, depth=4
Iterator=316, queue=574, depth=4
Iterator=317, queue=575, depth=6
Iterator=318, queue=576, depth=6
Iterator=319, queue=579, depth=2
Iterator=320, queue=582, depth=4
Iterator=321, queue=583, depth=4
Iterator=322, queue=584, depth=2
Iterator=323, queue=587, depth=4
Iterator=324, queue=588, depth=4
Iterator=325, queue=589, depth=2
Iterator=326, queue=592, depth=4
Iterator=327, queue=593, depth=4
Iterator=328, queue=594, depth=4
Iterator=329, queue=595, depth=4
