Enter value for shuffling:you string is123875460Iterator=1, queue=1, depth=0
Iterator=188, queue=11, depth=9
Iterator=189, queue=9, depth=9
Iterator=190, queue=9, depth=9
Iterator=191, queue=8, depth=7
Iterator=192, queue=8, depth=7
Iterator=193, queue=9, depth=8
Iterator=194, queue=9, depth=8
Iterator=195, queue=10, depth=9
Iterator=196, queue=12, depth=9
Iterator=197, queue=9, depth=9
Iterator=198, queue=9, depth=9
Iterator=199, queue=8, depth=8
Iterator=200, queue=10, depth=8
Iterator=201, queue=11, depth=9
Iterator=202, queue=10, depth=9
Iterator=203, queue=10, depth=9
Iterator=204, queue=9, depth=9
Iterator=205, queue=10, depth=9
Iterator=206, queue=8, depth=9
Iterator=207, queue=9, depth=9
Iterator=208, queue=7, depth=4
Iterator=209, queue=8, depth=4
Iterator=210, queue=9, depth=5
Iterator=211, queue=9, depth=5
Iterator=212, queue=10, depth=6
Iterator=213, queue=10, depth=6
Iterator=214, queue=11, depth=7
Iterator=215, queue=13, depth=7
Iterator=216, queue=14, depth=8
Iterator=217, queue=14, depth=8
Iterator=218, queue=15, depth=9
Iterator=219, queue=15, depth=9
Iterator=220, queue=14, depth=9
Iterator=221, queue=16, depth=9
Iterator=222, queue=13, depth=8
Iterator=223, queue=13, depth=8
Iterator=224, queue=14, depth=9
Iterator=225, queue=14, depth=9
Iterator=226, queue=13, depth=9
Iterator=227, queue=15, depth=9
Iterator=228, queue=12, depth=8
Iterator=229, queue=13, depth=8
Iterator=230, queue=13, depth=9
Iterator=231, queue=14, depth=9
Iterator=232, queue=12, depth=9
Iterator=233, queue=12, depth=9
Iterator=234, queue=11, depth=8
Iterator=235, queue=12, depth=8
Iterator=236, queue=12, depth=9
Iterator=237, queue=13, depth=9
Iterator=238, queue=11, depth=9
Iterator=239, queue=11, depth=9
Iterator=240, queue=10, depth=7
Iterator=241, queue=10, depth=7
Iterator=242, queue=11, depth=8
Iterator=243, queue=11, depth=8
Iterator=244, queue=12, depth=9
